start,end,user_id,cpus,memory,gpus,forward_port,image,extra_command
2023-02-22 23:15:00,2023-02-22 23:35:00,M11007s05-4,60,128,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,,
2023-02-22 23:15:00,2023-02-22 23:55:00,M11007s05-3,60,128,"[0, 1, 2, 3, 4, 5, 6, 7]",10000,,
